mc	mn	keysig	timesig	act_dur	offset	repeats	volta	barline	numbering_offset	dont_count	next
1	0	2	3/4	1/4	1/2	firstMeasure		other		1	2
2	1	2	3/4	3/4	0						3
3	2	2	3/4	3/4	0						4
4	3	2	3/4	3/4	0						5
5	4	2	3/4	3/4	0						6
6	5	2	3/4	3/4	0						7
7	6	2	3/4	3/4	0						8
8	7	2	3/4	3/4	0						9
9	8	2	3/4	3/4	0						10
10	9	2	3/4	3/4	0						11
11	10	2	3/4	3/4	0						12
12	11	2	3/4	3/4	0						13
13	12	2	3/4	3/4	0						14
14	13	2	3/4	3/4	0						15
15	14	2	3/4	3/4	0						16
16	15	2	3/4	3/4	0						17
17	16	2	3/4	1/2	0			double			18
18	16	2	3/4	1/4	1/2			other		1	19
19	17	2	3/4	3/4	0						20
20	18	2	3/4	3/4	0						21
21	19	2	3/4	3/4	0						22
22	20	2	3/4	3/4	0						23
23	21	2	3/4	3/4	0						24
24	22	2	3/4	3/4	0						25
25	23	2	3/4	3/4	0						26
26	24	2	3/4	3/4	0						27
27	25	2	3/4	3/4	0						28
28	26	2	3/4	3/4	0						29
29	27	2	3/4	3/4	0						30
30	28	2	3/4	1/2	0			double			31
31	28	2	3/4	1/4	1/2					1	32
32	29	2	3/4	3/4	0						33
33	30	2	3/4	3/4	0						34
34	31	2	3/4	3/4	0						35
35	32	2	3/4	3/4	0						36
36	33	2	3/4	3/4	0						37
37	34	2	3/4	3/4	0						38
38	35	2	3/4	3/4	0						39
39	36	2	3/4	3/4	0						40
40	37	2	3/4	3/4	0						41
41	38	2	3/4	3/4	0						42
42	39	2	3/4	3/4	0						43
43	40	2	3/4	1/2	0	lastMeasure					-1
